SiteName,MonitorDate,Concentration,ItemUnit
苗栗,2017-06-03,6,μg/m3
新竹,2017-06-03,8,μg/m3
竹東,2017-06-03,5,μg/m3
平鎮,2017-06-03,9,μg/m3
桃園,2017-06-03,8,μg/m3
萬華,2017-06-03,7,μg/m3
士林,2017-06-03,7,μg/m3
板橋,2017-06-03,7,μg/m3
汐止,2017-06-03,6,μg/m3
基隆,2017-06-03,5,μg/m3
馬公,2017-05-31,8,μg/m3
金門,2017-05-31,,μg/m3
馬祖,2017-05-31,24,μg/m3
宜蘭,2017-05-31,12,μg/m3
陽明,2017-05-31,6,μg/m3
花蓮,2017-05-31,8,μg/m3
臺東,2017-05-31,5,μg/m3
恆春,2017-05-31,4,μg/m3
屏東,2017-05-31,8,μg/m3
前金,2017-05-31,5,μg/m3
美濃,2017-05-31,7,μg/m3
臺南,2017-05-31,5,μg/m3
新營,2017-05-31,7,μg/m3
嘉義,2017-05-31,7,μg/m3
朴子,2017-05-31,7,μg/m3
斗六,2017-05-31,8,μg/m3
南投,2017-05-31,7,μg/m3
彰化,2017-05-31,11,μg/m3
忠明,2017-05-31,9,μg/m3
豐原,2017-05-31,14,μg/m3
三義,2017-05-31,10,μg/m3
苗栗,2017-05-31,12,μg/m3
新竹,2017-05-31,14,μg/m3
竹東,2017-05-31,13,μg/m3
平鎮,2017-05-31,14,μg/m3
桃園,2017-05-31,13,μg/m3
萬華,2017-05-31,13,μg/m3
士林,2017-05-31,13,μg/m3
板橋,2017-05-31,13,μg/m3
汐止,2017-05-31,13,μg/m3
基隆,2017-05-31,13,μg/m3
馬公,2017-05-28,13,μg/m3
金門,2017-05-28,28,μg/m3
馬祖,2017-05-28,10,μg/m3
宜蘭,2017-05-28,7,μg/m3
陽明,2017-05-28,2,μg/m3
花蓮,2017-05-28,8,μg/m3
臺東,2017-05-28,5,μg/m3
恆春,2017-05-28,4,μg/m3
屏東,2017-05-28,34,μg/m3
前金,2017-05-28,27,μg/m3
美濃,2017-05-28,31,μg/m3
臺南,2017-05-28,22,μg/m3
新營,2017-05-28,26,μg/m3
嘉義,2017-05-28,39,μg/m3
朴子,2017-05-28,,μg/m3
斗六,2017-05-28,42,μg/m3
南投,2017-05-28,27,μg/m3
彰化,2017-05-28,18,μg/m3
忠明,2017-05-28,19,μg/m3
豐原,2017-05-28,22,μg/m3
三義,2017-05-28,19,μg/m3
苗栗,2017-05-28,13,μg/m3
新竹,2017-05-28,9,μg/m3
竹東,2017-05-28,9,μg/m3
平鎮,2017-05-28,7,μg/m3
桃園,2017-05-28,8,μg/m3
萬華,2017-05-28,9,μg/m3
士林,2017-05-28,10,μg/m3
板橋,2017-05-28,8,μg/m3
汐止,2017-05-28,9,μg/m3
基隆,2017-05-28,9,μg/m3
馬公,2017-05-25,13,μg/m3
金門,2017-05-25,21,μg/m3
馬祖,2017-05-25,21,μg/m3
宜蘭,2017-05-25,9,μg/m3
陽明,2017-05-25,6,μg/m3
花蓮,2017-05-25,7,μg/m3
臺東,2017-05-25,6,μg/m3
恆春,2017-05-25,5,μg/m3
屏東,2017-05-25,8,μg/m3
前金,2017-05-25,9,μg/m3
美濃,2017-05-25,7,μg/m3
臺南,2017-05-25,13,μg/m3
新營,2017-05-25,14,μg/m3
嘉義,2017-05-25,17,μg/m3
朴子,2017-05-25,15,μg/m3
斗六,2017-05-25,17,μg/m3
南投,2017-05-25,15,μg/m3
彰化,2017-05-25,10,μg/m3
忠明,2017-05-25,11,μg/m3
豐原,2017-05-25,,μg/m3
三義,2017-05-25,10,μg/m3
苗栗,2017-05-25,11,μg/m3
新竹,2017-05-25,14,μg/m3
竹東,2017-05-25,12,μg/m3
平鎮,2017-05-25,15,μg/m3
桃園,2017-05-25,15,μg/m3
萬華,2017-05-25,13,μg/m3
士林,2017-05-25,11,μg/m3
板橋,2017-05-25,14,μg/m3
汐止,2017-05-25,14,μg/m3
基隆,2017-05-25,13,μg/m3
馬公,2017-05-22,10,μg/m3
金門,2017-05-22,14,μg/m3
馬祖,2017-05-22,16,μg/m3
宜蘭,2017-05-22,4,μg/m3
陽明,2017-05-22,8,μg/m3
花蓮,2017-05-22,7,μg/m3
臺東,2017-05-22,4,μg/m3
恆春,2017-05-22,3,μg/m3
屏東,2017-05-22,13,μg/m3
前金,2017-05-22,11,μg/m3
美濃,2017-05-22,12,μg/m3
臺南,2017-05-22,13,μg/m3
新營,2017-05-22,14,μg/m3
嘉義,2017-05-22,15,μg/m3
朴子,2017-05-22,12,μg/m3
斗六,2017-05-22,19,μg/m3
南投,2017-05-22,19,μg/m3
彰化,2017-05-22,18,μg/m3
忠明,2017-05-22,19,μg/m3
豐原,2017-05-22,21,μg/m3
三義,2017-05-22,22,μg/m3
苗栗,2017-05-22,17,μg/m3
新竹,2017-05-22,15,μg/m3
竹東,2017-05-22,14,μg/m3
平鎮,2017-05-22,9,μg/m3
桃園,2017-05-22,9,μg/m3
萬華,2017-05-22,8,μg/m3
士林,2017-05-22,11,μg/m3
板橋,2017-05-22,7,μg/m3
汐止,2017-05-22,7,μg/m3
基隆,2017-05-22,5,μg/m3
馬公,2017-05-19,16,μg/m3
金門,2017-05-19,22,μg/m3
馬祖,2017-05-19,18,μg/m3
宜蘭,2017-05-19,17,μg/m3
陽明,2017-05-19,11,μg/m3
花蓮,2017-05-19,12,μg/m3
臺東,2017-05-19,12,μg/m3
恆春,2017-05-19,11,μg/m3
屏東,2017-05-19,27,μg/m3
前金,2017-05-19,32,μg/m3
美濃,2017-05-19,22,μg/m3
臺南,2017-05-19,24,μg/m3
新營,2017-05-19,28,μg/m3
嘉義,2017-05-19,,μg/m3
朴子,2017-05-19,33,μg/m3
斗六,2017-05-19,32,μg/m3
南投,2017-05-19,,μg/m3
彰化,2017-05-19,32,μg/m3
忠明,2017-05-19,22,μg/m3
豐原,2017-05-19,15,μg/m3
三義,2017-05-19,15,μg/m3
苗栗,2017-05-19,15,μg/m3
新竹,2017-05-19,13,μg/m3
竹東,2017-05-19,10,μg/m3
平鎮,2017-05-19,15,μg/m3
桃園,2017-05-19,15,μg/m3
萬華,2017-05-19,16,μg/m3
士林,2017-05-19,15,μg/m3
板橋,2017-05-19,15,μg/m3
汐止,2017-05-19,17,μg/m3
基隆,2017-05-19,18,μg/m3
馬公,2017-05-16,6,μg/m3
金門,2017-05-16,13,μg/m3
馬祖,2017-05-16,17,μg/m3
宜蘭,2017-05-16,6,μg/m3
陽明,2017-05-16,3,μg/m3
花蓮,2017-05-16,6,μg/m3
臺東,2017-05-16,4,μg/m3
恆春,2017-05-16,5,μg/m3
屏東,2017-05-16,13,μg/m3
前金,2017-05-16,13,μg/m3
美濃,2017-05-16,9,μg/m3
臺南,2017-05-16,13,μg/m3
新營,2017-05-16,16,μg/m3
嘉義,2017-05-16,18,μg/m3
朴子,2017-05-16,15,μg/m3
斗六,2017-05-16,13,μg/m3
南投,2017-05-16,10,μg/m3
彰化,2017-05-16,8,μg/m3
忠明,2017-05-16,8,μg/m3
豐原,2017-05-16,5,μg/m3
三義,2017-05-16,4,μg/m3
苗栗,2017-05-16,8,μg/m3
新竹,2017-05-16,9,μg/m3
竹東,2017-05-16,7,μg/m3
平鎮,2017-05-16,10,μg/m3
桃園,2017-05-16,9,μg/m3
萬華,2017-05-16,9,μg/m3
士林,2017-05-16,7,μg/m3
板橋,2017-05-16,10,μg/m3
汐止,2017-05-16,7,μg/m3
基隆,2017-05-16,7,μg/m3
馬公,2017-05-13,16,μg/m3
金門,2017-05-13,23,μg/m3
馬祖,2017-05-13,9,μg/m3
宜蘭,2017-05-13,12,μg/m3
陽明,2017-05-13,6,μg/m3
花蓮,2017-05-13,10,μg/m3
臺東,2017-05-13,10,μg/m3
恆春,2017-05-13,11,μg/m3
屏東,2017-05-13,13,μg/m3
前金,2017-05-13,11,μg/m3
美濃,2017-05-13,,μg/m3
臺南,2017-05-13,12,μg/m3
新營,2017-05-13,17,μg/m3
嘉義,2017-05-13,15,μg/m3
朴子,2017-05-13,17,μg/m3
斗六,2017-05-13,21,μg/m3
南投,2017-05-13,15,μg/m3
彰化,2017-05-13,15,μg/m3
忠明,2017-05-13,13,μg/m3
豐原,2017-05-13,13,μg/m3
三義,2017-05-13,13,μg/m3
苗栗,2017-05-13,12,μg/m3
新竹,2017-05-13,14,μg/m3
竹東,2017-05-13,16,μg/m3
平鎮,2017-05-13,12,μg/m3
桃園,2017-05-13,13,μg/m3
萬華,2017-05-13,13,μg/m3
士林,2017-05-13,11,μg/m3
板橋,2017-05-13,16,μg/m3
汐止,2017-05-13,12,μg/m3
基隆,2017-05-13,9,μg/m3
馬公,2017-05-10,19,μg/m3
金門,2017-05-10,29,μg/m3
馬祖,2017-05-10,24,μg/m3
宜蘭,2017-05-10,10,μg/m3
陽明,2017-05-10,12,μg/m3
花蓮,2017-05-10,10,μg/m3
臺東,2017-05-10,10,μg/m3
恆春,2017-05-10,10,μg/m3
屏東,2017-05-10,22,μg/m3
前金,2017-05-10,17,μg/m3
美濃,2017-05-10,22,μg/m3
臺南,2017-05-10,21,μg/m3
新營,2017-05-10,24,μg/m3
嘉義,2017-05-10,24,μg/m3
朴子,2017-05-10,23,μg/m3
斗六,2017-05-10,24,μg/m3
南投,2017-05-10,23,μg/m3
彰化,2017-05-10,23,μg/m3
忠明,2017-05-10,21,μg/m3
豐原,2017-05-10,22,μg/m3
三義,2017-05-10,20,μg/m3
苗栗,2017-05-10,19,μg/m3
新竹,2017-05-10,19,μg/m3
竹東,2017-05-10,20,μg/m3
平鎮,2017-05-10,,μg/m3
桃園,2017-05-10,,μg/m3
萬華,2017-05-10,13,μg/m3
士林,2017-05-10,11,μg/m3
板橋,2017-05-10,,μg/m3
汐止,2017-05-10,12,μg/m3
基隆,2017-05-10,10,μg/m3
馬公,2017-05-07,16,μg/m3
金門,2017-05-07,20,μg/m3
馬祖,2017-05-07,20,μg/m3
宜蘭,2017-05-07,18,μg/m3
陽明,2017-05-07,9,μg/m3
花蓮,2017-05-07,15,μg/m3
臺東,2017-05-07,11,μg/m3
恆春,2017-05-07,10,μg/m3
